 Rank ,Website ,Category ,Change ,Avg. Visit Duration ,Pages / Visit ,Bounce Rate 
1, yahoo.com website analytics yahoo.com ,News and Media,=,00:06:11,6.19,42.67%
2, qq.com website analytics qq.com ,News and Media,=,00:04:50,4.55,48.31%
3, yahoo.co.jp website analytics yahoo.co.jp ,News and Media,=,00:09:09,8.25,29.20%
4, naver.com website analytics naver.com ,News and Media,=,00:14:15,12.22,17.64%
5, msn.com website analytics msn.com ,News and Media,=,00:08:42,5.88,48.10%
6, accuweather.com website analytics accuweather.com ,News and Media > Weather,=,00:01:34,2.69,48.91%
7, iqiyi.com website analytics iqiyi.com ,News and Media,=,00:05:32,3.2,47.08%
8, sohu.com website analytics sohu.com ,News and Media,=,00:03:31,3.03,52.12%
9, globo.com website analytics globo.com ,News and Media,=,00:08:53,3.97,46.61%
10, uol.com.br website analytics uol.com.br ,News and Media,=,00:08:47,5.34,48.45%
11, 163.com website analytics 163.com ,News and Media,=,00:03:55,4.78,42.43%
12, toutiao.com website analytics toutiao.com ,News and Media,5,00:15:21,8.72,24.44%
13, bbc.co.uk website analytics bbc.co.uk ,News and Media,=,00:04:04,3.7,48.89%
14, news.google.com website analytics news.google.com ,News and Media,=,00:38:27,5.28,39.26%
15, ifeng.com website analytics ifeng.com ,News and Media,-3,00:04:16,5.1,42.35%
16, espn.com website analytics espn.com ,News and Media > Sports News,5,00:09:22,5.05,39.38%
17, sina.com.cn website analytics sina.com.cn ,News and Media,-2,00:02:08,2.46,60.61%
18, cnn.com website analytics cnn.com ,News and Media,-2,00:03:36,2.26,54.01%
19, wp.pl website analytics wp.pl ,News and Media,=,00:07:27,7.75,24.18%
20, news.yandex.ru website analytics news.yandex.ru ,News and Media > Newspapers,-2,00:03:15,5.56,30.82%
21, onet.pl website analytics onet.pl ,News and Media,-1,00:06:10,5.92,36.07%
22, bbc.com website analytics bbc.com ,News and Media,1,00:02:41,2.47,61.16%
23, zybang.com website analytics zybang.com ,News and Media,12,00:02:33,1.71,65.06%
24, news.yahoo.com website analytics news.yahoo.com ,News and Media,-2,00:04:42,13.42,39.76%
25, nytimes.com website analytics nytimes.com ,News and Media > Newspapers,=,00:02:56,2.56,60.16%
26, news.yahoo.co.jp website analytics news.yahoo.co.jp ,News and Media,1,00:03:47,2.48,49.56%
27, dailymail.co.uk website analytics dailymail.co.uk ,News and Media > Newspapers,2,00:04:37,2.48,61.52%
28, naver.jp website analytics naver.jp ,News and Media > Magazines and E Zines,-4,00:04:12,3.87,40.44%
29, foxnews.com website analytics foxnews.com ,News and Media,4,00:07:18,3.12,50.88%
30, livedoor.jp website analytics livedoor.jp ,News and Media,=,00:06:12,3.7,44.52%
31, theguardian.com website analytics theguardian.com ,News and Media > Newspapers,=,00:02:31,2.62,63.86%
32, bp.blogspot.com website analytics bp.blogspot.com ,News and Media,-6,00:02:08,1.83,71.64%
33, buzzfeed.com website analytics buzzfeed.com ,News and Media > Magazines and E Zines,-5,00:03:40,5.22,37.81%
34, hurriyet.com.tr website analytics hurriyet.com.tr ,News and Media,-2,00:10:02,7.59,41.27%
35, washingtonpost.com website analytics washingtonpost.com ,News and Media > Newspapers,-1,00:02:36,2.68,42.64%
36, cnet.com website analytics cnet.com ,News and Media > Technology News,1,00:01:56,2.73,50.86%
37, weather.com website analytics weather.com ,News and Media > Weather,3,00:01:53,2.32,47.38%
38, rambler.ru website analytics rambler.ru ,News and Media > Newspapers,-2,00:05:50,4.75,29.52%
39, drudgereport.com website analytics drudgereport.com ,News and Media,3,00:21:31,9.43,51.28%
40, sports.yahoo.com website analytics sports.yahoo.com ,News and Media > Sports News,18,00:04:17,11.37,39.37%
41, milliyet.com.tr website analytics milliyet.com.tr ,News and Media > Newspapers,=,00:10:07,8.95,46.59%
42, pantip.com website analytics pantip.com ,News and Media,-3,00:05:09,3.27,50.07%
43, indiatimes.com website analytics indiatimes.com ,News and Media > Newspapers,-5,00:07:12,5.43,52.48%
44, news.naver.com website analytics news.naver.com ,News and Media,2,00:06:00,3.64,38.92%
45, eastday.com website analytics eastday.com ,News and Media,-1,00:03:01,2.63,61.48%
46, interia.pl website analytics interia.pl ,News and Media,-3,00:05:52,5.4,33.00%
47, detik.com website analytics detik.com ,News and Media,3,00:06:54,4.13,39.89%
48, zing.vn website analytics zing.vn ,News and Media,=,00:08:13,4.74,45.39%
49, pixnet.net website analytics pixnet.net ,News and Media > Magazines and E Zines,-2,00:04:06,2.35,58.96%
50, marca.com website analytics marca.com ,News and Media > Sports News,-1,00:10:27,5.8,32.70%
